"filename", "language", "JSON", "JavaScript", "vue", "CSS", "SCSS", "JSON with Comments", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-combox/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/components/uni-countdown/i18n/en.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/components/uni-countdown/i18n/index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/components/uni-countdown/i18n/zh-Hans.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/components/uni-countdown/i18n/zh-Hant.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/components/uni-countdown/uni-countdown.vue", "vue", 0, 0, 267, 0, 0, 0, 0, 0, 0, 0, 5, 272
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/package.json", "JSON", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-countdown/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 10
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-checkbox/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-checkbox/components/uni-data-checkbox/uni-data-checkbox.vue", "vue", 0, 0, 768, 0, 0, 0, 0, 0, 0, 1, 53, 822
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-checkbox/package.json", "JSON", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-checkbox/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 7, 18
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-picker/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 1, 76
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-picker/components/uni-data-picker/keypress.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 1, 46
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-picker/components/uni-data-picker/uni-data-picker.vue", "vue", 0, 0, 512, 0, 0, 0, 0, 0, 0, 0, 40, 552
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-picker/components/uni-data-pickerview/uni-data-picker.js", "JavaScript", 0, 540, 0, 0, 0, 0, 0, 0, 0, 10, 73, 623
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-picker/components/uni-data-pickerview/uni-data-pickerview.vue", "vue", 0, 0, 295, 0, 0, 0, 0, 0, 0, 0, 29, 324
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-picker/package.json", "JSON", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-picker/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 22
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-select/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-select/components/uni-data-select/uni-data-select.vue", "vue", 0, 0, 483, 0, 0, 0, 0, 0, 0, 0, 35, 518
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-select/package.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-data-select/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-dateformat/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-dateformat/components/uni-dateformat/date-format.js", "JavaScript", 0, 191, 0, 0, 0, 0, 0, 0, 0, 3, 7, 201
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-dateformat/components/uni-dateformat/uni-dateformat.vue", "vue", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 4, 89
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-dateformat/package.json", "JSON", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-dateformat/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-datetime-picker/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 1, 141
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-datetime-picker/components/uni-datetime-picker/calendar-item.vue", "vue", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 21, 178
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-datetime-picker/components/uni-datetime-picker/calendar.vue", "vue", 0, 0, 871, 0, 0, 0, 0, 0, 0, 0, 59, 930
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-datetime-picker/components/uni-datetime-picker/i18n/en.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-datetime-picker/components/uni-datetime-picker/i18n/index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-datetime-picker/components/uni-datetime-picker/i18n/zh-Hans.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
